date,SPY,QQQ,SCHD,IEF,GLD,SGOV,TQQQ,TQQQ_cal,QLD,QLD_cal
1998-07-17,-2.28476590202753e-06,0.0,-2.28476590202753e-06,0.0001515068493150682,0.0,0.0001415216304417,0.0,0.0,0.0,0.0
1998-07-20,9.550275556713395e-06,0.0,9.550275556713395e-06,0.0004553424657534246,0.0,0.0004228551075579,0.0,0.0,0.0,0.0
1998-07-21,2.619107506984797e-06,0.0,2.619107506984797e-06,0.0001508219178082192,0.0,0.0001406667604445,0.0,0.0,0.0,0.0
1998-07-22,7.358914873001332e-05,0.0,7.358914873001332e-05,0.00015027397260273945,0.0,0.0001395271380283,0.0,0.0,0.0,0.0
1998-07-23,1.0844505322071818e-05,0.0,1.0844505322071818e-05,0.0001504109589041096,0.0,0.0001389574143344,0.0,0.0,0.0,0.0
1998-07-24,-4.392904168204481e-06,0.0,-4.392904168204481e-06,0.00015027397260273945,0.0,0.0001395271380283,0.0,0.0,0.0,0.0
1998-07-27,6.724782978251298e-06,0.0,6.724782978251298e-06,0.00045082191780821833,0.0,0.0004177268066684,0.0,0.0,0.0,0.0
1998-07-28,-1.2774587222486034e-06,0.0,-1.2774587222486034e-06,0.0001508219178082192,0.0,0.0001395271380283,0.0,0.0,0.0,0.0
1998-07-29,0.00019464894399112698,0.0,0.00019464894399112698,0.0001515068493150682,0.0,0.0001389574143344,0.0,0.0,0.0,0.0
1998-07-30,0.00014452266030984262,0.0,0.00014452266030984262,0.00015219178082191752,0.0,0.0001389574143344,0.0,0.0,0.0,0.0
1998-07-31,9.864434711293057e-07,0.0,9.864434711293057e-07,0.0001515068493150682,0.0,0.0001389574143344,0.0,0.0,0.0,0.0
1998-08-03,3.199251500263234e-05,0.0,3.199251500263234e-05,0.0004545205479452046,0.0,0.0004194360652564,0.0,0.0,0.0,0.0
1998-08-04,2.8209865755357555e-05,0.0,2.8209865755357555e-05,0.00015027397260273945,0.0,0.000140096920062,0.0,0.0,0.0,0.0
1998-08-05,0.00014046997149197438,0.0,0.00014046997149197438,0.0001495890410958904,0.0,0.0001398120217521,0.0,0.0,0.0,0.0
1998-08-06,8.911236152897573e-05,0.0,8.911236152897573e-05,0.00014945205479452054,0.0,0.0001392422688894,0.0,0.0,0.0,0.0
1998-08-07,2.1086111541279706e-06,0.0,2.1086111541279706e-06,0.00014972602739726028,0.0,0.0001378181419301,0.0,0.0,0.0,0.0
1998-08-10,6.055593097675782e-05,0.0,6.055593097675782e-05,0.00044547945205479446,0.0,0.0004100373083328,0.0,0.0,0.0,0.0
1998-08-11,0.00019066488831331885,0.0,0.00019066488831331885,0.00014863013698630136,0.0,0.0001366791027776,0.0,0.0,0.0,0.0
1998-08-12,0.00019330388420302214,0.0,0.00019330388420302214,0.00014753424657534218,0.0,0.0001378181419301,0.0,0.0,0.0,0.0
1998-08-13,2.399159325583433e-05,0.0,2.399159325583433e-05,0.00014835616438356163,0.0,0.0001375333602774,0.0,0.0,0.0,0.0
1998-08-14,5.166614315843532e-05,0.0,5.166614315843532e-05,0.00014931506849315067,0.0,0.0001381029381611,0.0,0.0,0.0,0.0
1998-08-17,2.8499829821226896e-05,0.0,2.8499829821226896e-05,0.0004446575342465753,0.0,0.0004134544257905,0.0,0.0,0.0,0.0
1998-08-18,0.0001022016132878889,0.0,0.0001022016132878889,0.00014808219178082192,0.0,0.0001386725743621,0.0,0.0,0.0,0.0
1998-08-19,6.188079225710741e-05,0.0,6.188079225710741e-05,0.00014835616438356163,0.0,0.0001386725743621,0.0,0.0,0.0,0.0
1998-08-20,5.93393965114819e-05,0.0,5.93393965114819e-05,0.0001484931506849315,0.0,0.0001389574143344,0.0,0.0,0.0,0.0
