SCHD,SPY,QQQ,key,grid,구간,구간명,최종자산_세전,최종자산_세후,최종자산_원화,CAGR_세전,CAGR_세후,CAGR_원화,MDD,MDD고점,MDD저점,최장회복_거래일,회복완료,연변동성,Sharpe,Sortino,Calmar,최악의연도,최악연도,최악롤링3년,최악롤링5년,총매매횟수,연평균매매,총세금,연평균세금,세금비중,Sharpe_세후,최악롤링10년,최악롤링3년_세후,roll10_min,roll10_p10,roll10_med,roll10_n,boot_cagr_med,boot_cagr_p10,boot_mdd_med,boot_mdd_p10,stable_main,stable_alt,relax_main,relax_alt
0.0,0.4,0.6,S000_P040_Q060,10%p,S1,2000–2012,9241.604334909769,9241.604334909769,9826043.393049464,-0.005986678551333058,-0.005986678551333058,-0.010508302379128365,-0.7225587868598925,2000-03-24,2002-10-09,3211.0,False,0.2630936476102394,0.026744122265582634,0.03806952402784213,-0.008285386130795061,-0.3988675857410625,2008.0,-0.30767922582139995,-0.13879813255061102,12.0,0.9253365973072215,0.0,0.0,0.0,0.026744122265582634,-0.05108694122138524,-0.30767922582139995,,,,,,,,,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,S2,2013–2021,51824.17831101746,43306.40361452573,61597700.09869224,0.20091104151342476,0.17716871638727727,0.21588001965445325,-0.30187222017528315,2020-02-19,2020-03-23,154.0,True,0.17939667345572458,1.0743766250746118,1.5043876279898252,0.6655499515548833,-0.020847495426809526,2018.0,0.06045178121938677,0.07383148845102205,8.0,0.8896734333627537,8517.774696491735,947.2547323547738,0.16435908824975842,0.9279627952646378,,0.06045178121938677,,,,,,,,,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,S3,2022–2026,17536.7199800657,16277.791527488276,23504465.789282057,0.12780603885419084,0.10999058521287841,0.15655642873277342,-0.3065322007257849,2022-01-03,2022-10-14,486.0,True,0.20655775283560873,0.48713617330125214,0.6997673984403897,0.4169416412095724,-0.2751451098439337,2022.0,0.05293928602463982,,4.0,0.8549618320610687,1258.928452577423,269.08394406234993,0.07178813677862618,0.40736718150979495,,0.05293928602463982,,,,,,,,,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,OOS2,2013–2026,91800.52580479154,75444.82988185721,123040244.7361621,0.17609645156357367,0.15934118567025335,0.19617772017166546,-0.30813535658385605,2021-12-27,2022-10-14,492.0,True,0.18909032216606186,0.8558605795149967,1.2107997159396147,0.5714905732203787,-0.2692869555240649,2022.0,0.052939286024639154,0.07383148845102205,13.0,0.9506674405107371,16332.439019101685,1194.3629230451609,0.17791226004338648,0.76215194734548,0.13804852158500447,0.05259799000562726,,,,,,,,,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,ROLL10,"롤링10년(세후, 월별시작)",,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.052564199931108835,0.033832936717836715,0.11096095374845771,201.0,,,,,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,BOOT_A,"부트스트랩 A (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05738144100915499,-0.013586095331697322,-0.6014271158129093,-0.7866064933973372,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,BOOT_C,"부트스트랩 C (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08905784874016931,0.026916546537465627,-0.5788611804454569,-0.766155144317428,False,False,False,False
0.0,0.5,0.5,S000_P050_Q050,10%p,A,A 2000–2019,28979.34366286648,25220.492418066544,33484472.4286957,0.05480482454721125,0.047488734316190495,0.05607664091780018,-0.6895830959448844,2000-03-24,2002-10-09,3353.0,True,0.21991381861648585,0.2764553010638474,0.3925991586044745,0.07947530162716109,-0.3941428474127425,2008.0,-0.28469328183605536,-0.12192200551458798,19.0,0.9518886679920477,3758.8512447999315,188.31620550488725,0.12970794951496586,0.2447791849688794,-0.04525423091066583,-0.28469328183605536,,,,,,,,,False,False,False,False
0.0,0.5,0.5,S000_P050_Q050,10%p,B,B 2020–2026,29468.54752807993,25766.108511731814,39496694.251885526,0.17571358559878414,0.15232723703526574,0.20172677930842342,-0.3076364285568095,2020-02-19,2020-03-23,492.0,True,0.22114473109566044,0.7104932597588898,1.0072738383244635,0.5711728822984177,-0.25500701888654553,2022.0,0.05207977229574645,0.12186636181570099,6.0,0.8978622327790974,3702.4390163481125,554.0466936577935,0.12564036326595807,0.6103824740576737,,0.05207977229574645,,,,,,,,,False,False,False,False
0.0,0.5,0.5,S000_P050_Q050,10%p,C,C 2000–2026,86688.68804547461,71302.80924763324,116188848.58734962,0.08446632672571686,0.07654356664976425,0.09150730624958636,-0.6895830959448844,2000-03-24,2002-10-09,3353.0,True,0.22022428294691992,0.38808485073350424,0.5509223847827937,0.122488975182866,-0.3941428474127425,2008.0,-0.28469328183605536,-0.12192200551458798,26.0,0.9757259865971706,15363.863310520617,576.5738725616077,0.17723031293842095,0.35352189140477686,-0.04525423091066583,-0.28469328183605536,,,,,,,,,False,False,False,False
