최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,TQQQ연말최대매수_일자,S1_청산일,S2_동결,key,시나리오,구간,창
2415257583.7894053,906000000.0,408359106.68683213,906000.0,0.11225268360504827,-0.2192240766608179,-0.26421904068306123,134,29711083.098513544,2017-05-30,930034192.8182042,689156904.4538226,39628561.816837825,-0.8968061364055567,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-04-01,14
2436302685.934101,910500000.0,412896333.6931828,910500.0,0.11289893385989593,-0.21943565012436295,-0.26457390836528905,129,28428493.034761906,2017-06-01,923773204.0243616,686895729.6852854,39117187.84813539,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-05-03,14
2518850092.028544,906000000.0,437960704.0088335,906000.0,0.1167709844528147,-0.21980863556804475,-0.26523467174418425,135,30307796.20222473,2017-06-02,911901806.4816295,676319084.9905374,38119819.140331544,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-06-01,14
2580745062.090708,906000000.0,455648043.68311894,906000.0,0.11946081472385077,-0.21993359006066915,-0.26557272431807,135,30602964.448021114,2017-07-19,902812993.6098164,669577593.7108245,37416953.14494167,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-07-01,14
2684790839.3643136,910500000.0,483190553.4062796,910500.0,0.12350674948321716,-0.2199318871856889,-0.2655681170720794,123,26038438.665403783,2017-07-19,902623645.2429535,673448200.3226943,37426411.18702893,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-08-02,14
2801147179.071714,906000000.0,517040967.1303388,906000.0,0.12830560893215268,-0.21996884258335136,-0.26566810415330333,72,22933738.375283897,2017-07-19,899814102.5069754,673544576.313386,37221891.4334692,-0.8968061364055566,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-09-01,14
2738670767.0886765,906000000.0,500431184.8342399,906000.0,0.12593960171459168,-0.2202858355366144,-0.2665259054200304,135,29984375.546388865,2017-08-09,876050587.4649805,654353583.8571115,35528834.08175654,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-10-01,14
2554962145.7982674,906000000.0,448790013.2076465,906000.0,0.11830335568839866,-0.22036245672222476,-0.2667332826137886,129,28168661.58732742,2017-09-06,870381435.1594329,649989147.9933925,35135381.64515214,-0.8968061364055571,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-11-01,14
2512486720.6141996,906000000.0,437309702.30939865,906000.0,0.11648626512742957,-0.22051516599838938,-0.26712398062529386,129,28776684.57426822,2017-09-13,859015902.053792,640375730.2727033,34386238.55443434,-0.896806136405557,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-12-01,14
2311900316.2827215,910500000.0,371858020.52733845,910500.0,0.10711994460906392,-0.2660289967606734,-0.26973557320419805,129,28143794.74615848,2017-09-28,928083382.5781239,658686184.3285983,76178036.63686992,-0.48118249787727363,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-01-03,14
2481408502.6551356,906000000.0,420403704.37088245,906000.0,0.11510139625816414,-0.22211887155847032,-0.26723218640162594,59,21176361.078010082,2017-09-27,932397107.7827228,665978632.995487,76443227.37612258,-0.48118249787727396,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-02-01,14
2575994745.2054834,906000000.0,447131037.7242284,906000.0,0.11923767588513681,-0.222097850784574,-0.2674540074815136,55,19510783.43421632,2017-09-29,926721073.1319706,662970862.8108068,76071223.48108566,-0.48118249787727385,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-03-01,14
2680333941.1601114,906000000.0,476254064.8388026,906000.0,0.12361420003231398,-0.22209715316640333,-0.2674435168421353,25,14877779.101229131,2017-09-29,926772862.8327308,665772943.377837,76058199.8517255,-0.4811824978772741,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-04-01,14
2863793740.622895,910500000.0,526419423.41123253,910500.0,0.1305452201487197,-0.2220978870269783,-0.26741695167740154,4,10040515.057745218,2017-09-29,927117258.3915658,668853030.0072752,76070436.6714674,-0.48118249787727385,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-05-02,14
2632086937.4773717,906000000.0,463858427.182211,906000.0,0.12156645614568513,-0.22197899110841446,-0.2688259044881841,51,22552987.455738664,2017-10-27,893911387.264163,639061105.2485379,73988535.66478117,-0.48118249787727385,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-06-01,14
2755941524.188057,906000000.0,498796786.27148044,906000.0,0.12664572833540882,-0.22194657028333642,-0.26920168521688537,51,22339292.597224236,2017-11-03,885218700.5832399,635387816.6325437,73417811.50224963,-0.4811824978772741,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-07-01,14
2821227113.5583925,906000000.0,518220707.18355,906000.0,0.1291009411840642,-0.2218598894816728,-0.2703226762666603,104,30064325.29793787,2017-12-18,861682931.2962569,613873464.5320278,71916917.31395525,-0.4811824978772734,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-08-01,14
2819501189.9392557,906000000.0,517754271.9933591,906000.0,0.12905638361918226,-0.2218874413473938,-0.27063190070701304,96,28875447.528530955,2017-12-18,855045706.1419964,610554218.0381728,71482858.42522979,-0.4811824978772735,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-09-01,14
2733051427.122499,910500000.0,492570853.7732377,910500.0,0.12542330167509133,-0.2221674333918624,-0.2713988772561279,126,32290746.520701528,2018-01-12,839642889.8251503,598516417.1708577,70491603.78302963,-0.48118249787727374,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-10-03,14
2833057932.36662,906000000.0,521903571.43050945,906000.0,0.12953668646172775,-0.22219589066117107,-0.27147687513761265,96,28572857.822882473,2018-01-12,837869852.2072825,599154676.765686,70370232.33563776,-0.48118249787727363,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-11-01,14
2909204032.9630723,906000000.0,544458807.3001838,906000.0,0.13245827413971015,-0.22274498788828512,-0.2727999540959999,224,38545759.667656004,2018-01-22,808850268.3583127,574411573.7934117,68590768.6869887,-0.48118249787727374,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2005-12-01,14
3037998935.3152046,910500000.0,577943757.4257622,910500.0,0.1368792092276022,-0.222718872677671,-0.2727407515330845,182,33386856.374323606,2018-01-22,1216284246.3912473,940158817.2886524,68647229.69828436,-0.4811824978772735,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-01-03,14
3118734293.424636,906000000.0,601968269.1380213,906000.0,0.13990983628013443,-0.22276540770710707,-0.27284624389410206,104,30058792.038782537,2018-01-22,1212983172.1129403,937958406.9750701,68493282.54522046,-0.4811824978772735,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-02-01,14
2932362924.0879083,906000000.0,549568060.3993099,906000.0,0.13331335750795456,-0.236905372392487,-0.2732960329754591,117,30447425.29462737,2018-01-23,1199382920.488929,928767697.0221908,67857096.32237917,-0.4811824978772741,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-03-01,14
2571513131.513695,910500000.0,446784681.13262445,910500.0,0.11876825211346176,-0.3240549908780409,-0.32601253972955735,129,31448604.706543982,2018-06-12,1184348568.4639287,917196150.0807679,67158891.3936907,-0.48118249787727363,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-04-03,14
2852766931.830406,906000000.0,527214806.2138645,906000.0,0.1302929045018332,-0.2896807597104847,-0.290615475186788,86,27237470.229014754,2018-06-13,1183179082.6066823,918327473.6492043,67099212.971646465,-0.48118249787727374,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-05-01,14
3070300432.386466,906000000.0,588331392.8864317,906000.0,0.13830545762120353,-0.28967976255075056,-0.290615101179051,51,22777722.86552608,2018-06-13,1182393628.053751,921140655.9435399,67053253.44072342,-0.48118249787727385,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-06-01,14
3136764364.4305773,910500000.0,605754505.6237519,910500.0,0.14034408694006759,-0.2896739801599122,-0.2906129315541429,22,20173410.437321544,2018-06-14,1176798983.2579584,918881907.6973598,66787750.50877105,-0.48118249787727374,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-07-03,14
3300845400.1321807,906000000.0,652931635.0631973,906000.0,0.14603545036449228,-0.28967098565250793,-0.2906118127073677,5,16354857.456392527,2018-06-14,1175316061.3381033,921679292.6046929,66650427.81700504,-0.48118249787727363,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-08-01,14
3529420948.2438188,906000000.0,718792348.6060718,906000.0,0.15322447591707392,-0.2896302687911083,-0.2905968238332095,31,26463800.780102134,2018-07-09,1130993914.1796849,884809748.6044225,64823577.08952777,-0.4811824978772743,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-09-01,14
3254539984.1786876,910500000.0,640320403.1367292,910500.0,0.14433338323166756,-0.28961415579554184,-0.29059101333893844,35,27497362.369874597,2018-07-12,1114986628.774155,871953485.2654915,64119156.4688778,-0.48118249787727385,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-10-02,14
2989936560.9245453,906000000.0,567506146.4770353,906000.0,0.135378749115885,-0.2895900667551633,-0.290584411044745,91,32298542.248000234,2018-07-18,1088720555.9184935,849668908.0829828,62956456.35270655,-0.4811824978772734,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-11-01,14
3224706085.771874,906000000.0,634124159.4908247,906000.0,0.14351401706432398,-0.28956927397508814,-0.2905789197499469,117,35663160.92828271,2018-08-29,1067307140.461395,831161516.4564407,61972056.50302391,-0.4811824978772741,2019-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2006-12-01,14
