G,key,구간,CAGR_세후,Sharpe_세후,Sharpe,MDD,최장회복_거래일,최종자산_세후,순위_Sharpe세후,순위_CAGR세후,순위_MDD
G2,B-opt,B,0.14093715210015745,0.5943126535516021,0.6953583365326307,-0.317870236882971,491,24111.245965649996,5.0,5.0,4.0
G2,B-opt,C,0.07430449509613601,0.35422234752880205,0.39090916983330676,-0.614877074408315,3227,67454.68621266432,4.0,5.0,4.0
G2,B1,A,0.04684199919302556,0.2420902068893288,0.2734742632478666,-0.6895830959448848,3356,24911.49272926351,6.0,6.0,6.0
G2,B1,B,0.1503563411268456,0.6219184028626945,0.7236558805533663,-0.30562246231168777,490,25473.04061336149,4.0,3.0,2.0
G2,B1,C,0.07546821951993987,0.35109837670736443,0.3851427998167676,-0.6895830959448848,3356,69429.03927897288,5.0,4.0,6.0
G2,SPY,A,0.04972735206526924,0.2619816374273099,0.2999105128704443,-0.5542179376787053,1682,26318.420560249822,4.0,4.0,3.0
G2,SPY,B,0.12645317324641092,0.5391186786105507,0.639297155303416,-0.33737498940996,488,22138.13600711137,6.0,6.0,6.0
G2,SPY,C,0.07121558548938589,0.34817921142371666,0.3905765783180306,-0.5542179376787053,1682,62472.6603754516,6.0,6.0,3.0
G2,QQQ,A,0.040895670657892014,0.22214041695057787,0.24385723805754392,-0.8296413105860335,3791,22234.08207927515,7.0,7.0,7.0
G2,QQQ,B,0.1718250135949262,0.6356719892773206,0.7369792944488529,-0.3517822059268173,517,28823.324862563553,3.0,1.0,7.0
G2,QQQ,C,0.07554963825425176,0.33133757129169245,0.3610668684202451,-0.8296413105860335,3791,69569.23510012208,7.0,3.0,7.0
G3,P3,A,0.06634976263310266,0.33306497384808437,0.36814987730972226,-0.6234079046382786,2734,36012.42150861911,1.0,1.0,5.0
G3,P3,B,0.16904951193172768,0.6719137150738855,0.755235983658811,-0.3298095166143895,368,28370.17413139362,1.0,2.0,5.0
G3,P3,C,0.09359746730175722,0.43443014178788725,0.47456618853187305,-0.6234079046382786,2734,108391.40044079942,1.0,1.0,5.0
G3,A80,A,0.06292755411795503,0.33228049764081113,0.36973372939622484,-0.5498067046905932,1894,33774.38866609674,2.0,2.0,2.0
G3,A80,B,0.1505743609427339,0.6493848465628019,0.7389100463826341,-0.3089981843057925,386,25505.319591725398,2.0,3.0,3.0
G3,A80,C,0.08693157326288681,0.4304790586316285,0.47092187607586894,-0.5498067046905932,1894,92095.78221228214,2.0,2.0,2.0
G3,C100,A,0.05170114793220093,0.30334787149546977,0.3520552578811271,-0.4359707550326134,1450,27323.9912503433,3.0,3.0,1.0
G3,C100,B,0.1084950200974244,0.5452277010557798,0.6560250249600611,-0.2656118888693594,495,19883.871962061956,6.0,7.0,1.0
G3,C100,C,0.06821862788304434,0.3829730520927299,0.43377063369446067,-0.4359707550326134,1450,57978.617663855985,3.0,7.0,1.0
G3,B-opt,A,0.04839877566476636,0.25144559837081787,0.2859566490439002,-0.614877074408315,3227,25661.467024304948,5.0,5.0,4.0
G3,B-opt,B,0.14093715210015745,0.5943126535516021,0.6953583365326307,-0.317870236882971,491,24111.245965649996,5.0,5.0,4.0
G3,B-opt,C,0.07430449509613601,0.35422234752880205,0.39090916983330676,-0.614877074408315,3227,67454.68621266432,4.0,5.0,4.0
G3,B1,A,0.04684199919302556,0.2420902068893288,0.2734742632478666,-0.6895830959448848,3356,24911.49272926351,6.0,6.0,6.0
G3,B1,B,0.1503563411268456,0.6219184028626945,0.7236558805533663,-0.30562246231168777,490,25473.04061336149,4.0,4.0,2.0
G3,B1,C,0.07546821951993987,0.35109837670736443,0.3851427998167676,-0.6895830959448848,3356,69429.03927897288,5.0,4.0,6.0
G3,SPY,A,0.04972735206526924,0.2619816374273099,0.2999105128704443,-0.5542179376787053,1682,26318.420560249822,4.0,4.0,3.0
G3,SPY,B,0.12645317324641092,0.5391186786105507,0.639297155303416,-0.33737498940996,488,22138.13600711137,7.0,6.0,6.0
G3,SPY,C,0.07121558548938589,0.34817921142371666,0.3905765783180306,-0.5542179376787053,1682,62472.6603754516,6.0,6.0,3.0
G3,QQQ,A,0.040895670657892014,0.22214041695057787,0.24385723805754392,-0.8296413105860335,3791,22234.08207927515,7.0,7.0,7.0
G3,QQQ,B,0.1718250135949262,0.6356719892773206,0.7369792944488529,-0.3517822059268173,517,28823.324862563553,3.0,1.0,7.0
G3,QQQ,C,0.07554963825425176,0.33133757129169245,0.3610668684202451,-0.8296413105860335,3791,69569.23510012208,7.0,3.0,7.0
