최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,S1_청산일,S2_동결,key,보유년,시작,종료,배분
2011758658.691688,906000000.0,311431057.57970697,906000.0,0.09208121658613119,-0.2949694503055331,-0.2963783419013646,168,47764958.02551034,2020-08-18,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-11-01,2020-10-30,M1
2142610456.8906708,906000000.0,348337975.0204455,906000.0,0.0990181458323512,-0.29495506379916325,-0.2963783707031794,169,48640022.08307055,2020-08-24,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-12-01,2020-11-30,M1
2162839357.985764,906000000.0,354043562.5088053,906000.0,0.10005598343420986,-0.2949410156461958,-0.29637839882760986,176,49284633.16739878,2020-08-26,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-01-03,2020-12-31,M1
2173973685.550489,906000000.0,357184013.8732149,906000.0,0.100651346580958,-0.2949188407565273,-0.2963784432217833,206,52703421.91022083,2020-09-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-02-01,2021-01-29,M1
2238597998.1158476,906000000.0,375411384.08395714,906000.0,0.10392485332826316,-0.29491702645397244,-0.2963784468540208,176,48840663.91480592,2020-09-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-03-01,2021-02-26,M1
2357012170.1087666,910500000.0,407542291.5691393,910500.0,0.10927256987627582,-0.29490260489500864,-0.2963784757260106,182,49350149.50396615,2020-09-02,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-04-02,2021-04-01,M1
2378931659.609671,906000000.0,414992673.22324055,906000.0,0.11052730672822077,-0.29487844127783513,-0.29637852410162013,245,53027315.14686951,2021-01-20,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-05-01,2021-04-30,M1
2362969674.6627636,906000000.0,410490574.904882,906000.0,0.10987211807828497,-0.29485626426712275,-0.2963785685000401,307,55803282.62932867,2021-02-02,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-06-01,2021-05-28,M1
2465310646.809997,910500000.0,438088015.7669222,910500.0,0.11420021695078147,-0.294852175663587,-0.2963785766854323,247,52621567.698427886,2021-02-04,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-07-02,2021-07-01,M1
2543544691.488783,906000000.0,461421989.90709263,906000.0,0.11785069629821888,-0.29485315719676697,-0.29637857472040163,206,47805738.67149931,2021-02-02,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-08-01,2021-07-30,M1
2601019486.1710467,910500000.0,476364867.8943979,910500.0,0.11997640487297791,-0.2948298236277338,-0.2963786214342533,247,50705234.89250606,2021-02-04,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-09-04,2021-09-03,M1
2513002938.2424774,906000000.0,452807649.24787825,906000.0,0.11649722732852809,-0.29481390473177704,-0.296378653303915,302,51126515.08181372,2021-02-08,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-10-01,2021-09-30,M1
2660509792.131122,906000000.0,494412146.4985216,906000.0,0.1227629941234608,-0.29481401699890575,-0.2963786530791558,221,46592159.3546412,2021-02-08,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-11-01,2021-10-29,M1
2643622564.6655626,910500000.0,488381120.8031075,910500.0,0.121778201858672,-0.29480412915151455,-0.2963786728746457,207,45099191.880105555,2021-03-09,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2007-12-03,2021-12-02,M1
2755633718.5317936,906000000.0,521241971.8935828,906000.0,0.12651645922159505,-0.294792336605743,-0.296378696483346,206,44136358.883502066,2021-03-09,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-01-02,2021-12-31,M1
2660778830.785187,906000000.0,494488029.195822,906000.0,0.12268775721065087,-0.2947922597392063,-0.2963786966372334,176,39659242.10856202,2021-03-09,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-02-01,2022-01-31,M1
2607733871.039531,910500000.0,478258668.75473964,910500.0,0.1203299483291034,-0.2947975671226365,-0.29637868601184025,162,33573992.803961486,2021-03-09,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-03-03,2022-03-02,M1
2644864598.15378,906000000.0,489999399.47927123,906000.0,0.1220909884772715,-0.2947589885526216,-0.2963787632462156,204,40359768.78928685,2021-04-01,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-04-01,2022-03-31,M1
2465904255.044528,906000000.0,439523405.26896936,906000.0,0.1144990056199616,-0.2947223040854289,-0.296378836688592,315,46102883.93638325,2021-04-09,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-05-01,2022-04-29,M1
2426209755.638605,910500000.0,427059559.2826835,910500.0,0.11245501408948065,-0.2947090455834195,-0.2963788632321398,315,45194003.46359855,2021-04-12,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-06-02,2022-06-01,M1
2353668148.076003,906000000.0,407867067.4060522,906000.0,0.10937049456855273,-0.2947165285777448,-0.2963788482511708,206,38674259.770273626,2021-04-09,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-07-01,2022-06-30,M1
2568907868.3547716,906000000.0,468575706.45903814,906000.0,0.11898051897477517,-0.2947262937258127,-0.29637882870132404,165,31510972.185287386,2021-04-05,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-08-01,2022-07-29,M1
2492901918.41071,910500000.0,445870169.2953284,910500.0,0.11540521210987413,-0.29465700880087997,-0.29637896740988257,389,45252861.625542134,2021-06-14,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-09-02,2022-09-01,M1
2397392988.358246,906000000.0,420199714.6651464,906000.0,0.11136873852764329,-0.29466190168056794,-0.29637895761432764,308,39513032.53332326,2021-06-11,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-10-01,2022-09-30,M1
2549703793.4674525,910500000.0,461891210.9779995,910500.0,0.11783879001775859,-0.2947063891560051,-0.2963788685503126,135,23406647.3557972,2021-04-12,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-11-03,2022-11-02,M1
2575629268.8791494,906000000.0,470471486.09411925,906000.0,0.11919113696326689,-0.29470996935909677,-0.29637886138273883,54,17945648.02558765,2021-04-12,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2008-12-01,2022-11-30,M1
2301172626.054719,906000000.0,393060638.1179975,906000.0,0.10690670335125746,-0.29467287637155537,-0.2963789356429739,139,23206189.15759778,2021-05-07,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-01-02,2022-12-30,M1
2436890111.054118,910500000.0,430071967.2203924,910500.0,0.11289988795234489,-0.2946915020615035,-0.29637889835430553,34,13858825.528982043,2021-05-03,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2009-02-02,2023-02-01,M1
